class,url
Obsessive compulsitve disorder,https://www.youtube.com/watch?v=Lf6FpYcsziw
Acute stress disorder,https://www.youtube.com/watch?v=hJbRpHZr_d0
Depressive disorder,https://www.youtube.com/watch?v=Sxddnugwu-8
Behavioral addiction disorder,https://www.youtube.com/watch?v=QtFzJt9nyLQ
Social anxiety disorder,https://www.youtube.com/watch?v=Ycyz2C0bNUg
Panic disorder,https://www.youtube.com/watch?v=8Lg4EzektCw
Schizophrenia,https://www.youtube.com/watch?v=t6FCj7MCrI4
Adjustment disorder,https://www.youtube.com/watch?v=lHVYgnlukTw
bipolar disorder,https://www.youtube.com/watch?v=cSYK9uupvf4
Posttraumatic stress disorder,https://www.youtube.com/watch?v=TqVSwY8y3UY
Alcohol use disorder,https://www.youtube.com/watch?v=7Ij1RoJGnsY
